"","hyena_ID","date_sampling","sample_ID.x","module","sub_module","clan","sex","birthdate","age_sampling","age_sampling_cat","litter_size","twin_status","sex_comp","date_reversal1","date_reversal2","type_adoption","genetic_mum_alive","social_rank_genetic_mum","surrogate_mum1_alive","social_rank_surrogate_mum1","surrogate_mum2_alive","social_rank_surrogate_mum2","date_adoption","social_rank_hyena_ID","prey_level","prey_level_imputed","sampling_month","season","total_parasite_load","Ancylostoma_egg_load","Ancylostoma_rich","Cystoisospora_oocyst_load","Cystoisospora_rich","Spirometra_egg_load","Spirometra_rich","Dipylidium_egg_load","Dipylidium_rich..includes.proglotids.visualization.info.","Trichuris_egg_load","Trichuris_rich","Taeniidae_egg_load","Taeniidae_rich","Spirurida_egg_load","Spirurida_rich","Mesocestoides_egg_load","Mesocestoides_rich","other_unidentified_taxa","other_rich","total_parasite_rich","total_parasite_rich_without_other","mucin","IgA","IgG","fGCM","lysozyme","lysozyme_detection","neopterin","neopterin_CV","extract_prepared_neopterin","date_neopterin","time_of_storage_neopterin","sample_ID.y","cortisol","ID_sib","genetic_mum","surrogate_mum"
"1","I247","2009-12-15","X9162","intest_biomes","adoptions","I","F","1996-08-27",4858,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,2,2,12,"wet",75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88.23171755,44739.81424,28.33800714,47.73,0,0,19.38,"5 - 10%","22-Jan-2021","5-Feb-2021",14,"ES1299",47.73,NA,"I166","I153"
"2","I278","2011-04-13","B2400","intest_biomes","adoptions","I","F","1998-04-11",4750,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,1,1,4,"wet",125,50,1,0,0,25,1,0,0,0,0,0,0,0,0,50,1,0,0,3,3,85.11337766,261229.5666,11121.6177,38.36,0,0,12.81,"< 5%","24-Feb-2020","14-Dec-2020",294,"ES1608",38.36,NA,"I153","I153"
"3","I351","2010-09-28","B897","intest_biomes","adoptions","I","F","2001-08-11",3335,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,2,9,"dry",625,225,1,0,0,0,0,0,0,0,0,0,0,400,1,0,0,0,0,2,2,73.63433191,154851.9515,0,30.237,0,0,11.7,"< 5%","22-Jan-2021","5-Feb-2021",14,"ES1423",30.24,"I350","I201","I201"
"4","I365","2007-11-29","X6753","intest_biomes","social_dyn","I","F","2002-06-14",1994,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,2,2,11,"wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.52018563,88376.27567,13.52789787,38.545,0,0,20.441,"< 5%","22-Jan-2021","27-Jan-2021",5,"ES897",38.55,"I366","I182","I182"
"5","I365","2014-11-07","B6320","intest_biomes","extreme_ranks","I","F","2002-06-14",4529,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,2,2,11,"wet",675,400,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,29.89088306,170184.449,339.3864171,28.881,0,0,21.09,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES1935",28.88,"I366","I182","I182"
"6","I369","2007-09-26","X6473","intest_biomes","social_dyn","I","F","2002-08-21",1862,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,2,2,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.88792016,60828.58867,333.8838693,15.09,0,0,2.133,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES850",15.09,NA,"I214","I214"
"7","I405","2015-06-08","B6739","intest_biomes","extreme_ranks","I","F","2005-02-16",3764,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76,1,1,6,"dry",25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.84058026,677477.8173,510.2673876,27.695,0,0,1.302,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2114",27.7,"I408","I247","I247"
"8","I434","2016-07-27","B7860","intest_biomes","extreme_ranks","I","F","2006-02-21",3809,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,2,2,7,"dry",25,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,1,71.91142389,237742.1671,7.041535313,77.29,0,0,37.56,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2357",77.29,NA,"I363","I363"
"9","I447","2009-11-30","X8931","intest_biomes","extreme_ranks","I","F","2006-08-20",1198,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,3,3,11,"wet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.03930754,160326.7018,58.59857043,12.21,0,0,3.564,"5 - 10%","24-Feb-2020","14-Dec-2020",294,"ES1274",12.21,"I448","I247","I247"
"10","I458","2009-06-05","X8181","intest_biomes","social_dyn","I","F","2007-04-01",796,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,1,1,6,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.179003,665413.2905,18.82768854,17.579,1.302044,1,53.51,"< 5%","22-Jan-2021","28-Jan-2021",6,"ES1145",208.75,NA,"I278","I278"
"11","I459","2007-09-18","X6441","intest_biomes","social_dyn","I","F","2007-05-26",115,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",0.1,NA,NA,NA,NA,NA,NA,2,2,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.8682098,372822.6645,1473.353493,35.925,0,0,9.641,"< 5%","16-Apr-2020","22-Mar-2021",340,"ES840",35.93,"I469","I211","I211"
"12","I459","2009-12-02","X8978","intest_biomes","social_dyn","I","F","2007-05-26",921,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,3,3,12,"wet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.36352422,87368.08196,122.2729032,20.52,0,0,2.919,"< 5%","16-Apr-2020","14-Dec-2020",242,"ES1282",20.52,"I469","I211","I211"
"13","I461","2007-11-20","X6641","intest_biomes","twins","I","M","2007-06-07",166,"sampled_as_juvenile","twin","twin_dom","mixed","2007-11-20",NA,"no_adoption","mum_alive",0.7,NA,NA,NA,NA,NA,NA,2,2,11,"wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.4552006,1157061.77,215.0344709,NA,0,0,8.962,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES886",NA,"I462","I351","I351"
"14","I462","2007-11-20","X6643","intest_biomes","social_dyn_twins","I","F","2007-06-07",166,"sampled_as_juvenile","twin","twin_sub","mixed","2007-11-20",NA,"no_adoption","mum_alive",0.7,NA,NA,NA,NA,NA,NA,2,2,11,"wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I461","I351","I351"
"15","I476","2016-12-10","B8634","intest_biomes","extreme_ranks","I","F","2007-10-07",3352,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,12,"wet",25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29.89387537,81407.8982,10.08759994,29.626,0,0,3.506,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2517",29.63,"I475","I314","I314"
"16","I482","2008-09-01","X7135","intest_biomes","social_dyn","I","F","2008-04-12",142,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.23,NA,NA,NA,NA,NA,NA,2,2,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.0663506,1085954.248,1010.738111,61.203,0,0,7.874,"5 - 10%","16-Apr-2020","22-Mar-2021",340,"ES993",61.2,NA,"I363","I363"
"17","I484","2009-11-28","X8908","intest_biomes","social_dyn","I","F","2008-04-27",580,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.14,NA,NA,NA,NA,NA,NA,3,3,11,"wet",56450,875,1,0,0,55575,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,105.637365,336314.3425,58.18589589,21.805,0,0,2.15,"5 - 10%","22-Jan-2021","27-Jan-2021",5,"ES1271",21.81,"I485","I383","I383"
"18","I491","2008-09-22","X7340","intest_biomes","social_dyn","I","F","2008-06-09",105,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.75,NA,NA,NA,NA,NA,NA,3,3,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.794314,4698152.141,15.29637348,2382.673,0,0,22.62,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1009",2382.67,"I489","I387","I387"
"19","I512","2009-09-24","X8562","intest_biomes","twins","I","M","2009-05-02",145,"sampled_as_juvenile","twin","twin_dom","MM",NA,NA,"no_adoption","mum_alive",-0.77,NA,NA,NA,NA,NA,NA,2,2,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.8413288,1357078.893,827.919016,41.01,0,0,3.331,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1188",41.01,"I513","I405","I405"
"20","I513","2009-09-25","X8566","intest_biomes","twins","I","M","2009-05-02",146,"sampled_as_juvenile","twin","twin_sub","MM",NA,NA,"no_adoption","mum_alive",-0.77,NA,NA,NA,NA,NA,NA,2,2,9,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.443065,564788.694,187.299932,44.545,0,0,5.151,"< 5%","16-Apr-2020","23-Mar-2021",341,"ES1190",44.55,"I512","I405","I405"
"21","I515","2009-07-22","X8453","intest_biomes","social_dyn","I","F","2009-03-17",127,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.09,NA,NA,NA,NA,NA,NA,2,2,7,"dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.75516359,466740.9483,1262.565695,22.401,0,0,3.672,"< 5%","16-Apr-2020","23-Mar-2021",341,"ES1150",22.4,NA,"I182","I182"
"22","I538","2016-07-06","B7706","intest_biomes","social_dyn","I","F","2009-09-08",2493,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2,2,7,"dry",1100,75,1,125,1,875,1,0,0,0,0,0,0,0,0,25,1,0,0,4,4,71.58194612,49228.34976,37.37387959,43.615,0,0,2.527,"< 5%","16-Apr-2020","17-Dec-2020",245,"ES2333",43.62,NA,"I451","I451"
"23","I545","2010-02-23","X9326","intest_biomes","social_dyn","I","F","2009-10-28",118,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.14,NA,NA,NA,NA,NA,NA,2,2,2,"wet",6100,5700,1,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,115.9240582,594506.3701,413.1622713,36.98,0,0,6.79,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1321",36.98,"I544","I383","I383"
"24","I545","2015-11-11","B7255","intest_biomes","social_dyn","I","F","2009-10-28",2205,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,3,3,11,"wet",100,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43.58092413,302.5768584,8.034353693,33.971,0,0,9.67,"< 5%","6-Oct-2017","7-Oct-2020",1097,"ES2241",33.97,"I544","I383","I383"
"25","I551","2010-07-09","B574","intest_biomes","adoptions","I","M","2010-01-12",178,"sampled_as_juvenile","twin","twin_dom","mixed","2010-07-07",NA,"no_adoption","mum_alive",-0.65,NA,NA,NA,NA,NA,NA,2,2,7,"dry",650,125,1,275,1,200,1,0,0,25,1,0,0,0,0,0,0,25,1,5,4,123.3487386,648637.7282,3261.295481,25.205,0,0,4.891,"< 5%","24-Feb-2020","15-Dec-2020",295,"ES1379",25.21,"I550","I387","I387"
"26","I557","2010-10-07","B990","intest_biomes","adoptions","I","M","2010-02-19",230,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"adoption","mum_alive",-0.85,"surrogate_mum1_alive",0.55,NA,NA,"2010-03-18",NA,2,2,10,"dry",7875,1775,1,275,1,5650,1,0,1,100,1,0,0,0,0,0,0,75,1,6,5,279.5804765,22407.08216,113.5944617,29.135,0,0,4.08,"< 5%","5-Nov-2020","15-Dec-2020",40,"ES1433",29.14,"I558","I278","I351"
"27","I558","2010-09-20","B867","intest_biomes","adoptions","I","F","2010-02-19",213,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"adoption","mum_alive",-0.85,"surrogate_mum1_alive",0.55,NA,NA,"2010-03-18",NA,1,1,9,"dry",100,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,214.8965112,16811.43005,12.09976958,31.108,0,0,10.52,"< 5%","5-Nov-2020","15-Dec-2020",40,"ES1419",31.11,"I557","I278","I351"
"28","I562","2010-07-07","B540","intest_biomes","social_dyn","I","F","2010-02-05",152,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.35,NA,NA,NA,NA,NA,NA,2,2,7,"dry",4825,4575,1,150,1,25,1,0,0,0,0,0,0,0,0,0,0,75,1,3,2,126.1952691,1128818.311,89.76453188,67.59,0,0,8.316,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1377",67.59,"I563","I335","I335"
"29","I562","2010-09-07","B824","intest_biomes","adoptions","I","F","2010-02-05",214,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.35,NA,NA,NA,NA,NA,NA,2,2,9,"dry",2300,1825,1,0,0,0,0,400,1,0,0,0,0,50,1,0,0,0,0,3,3,113.0433927,1449741.212,58.03811642,84.929,0,0,7.777,"< 5%","22-Jan-2021","28-Jan-2021",6,"ES1413",84.93,"I563","I335","I335"
"30","I562","2016-12-13","B8661","intest_biomes","social_dyn","I","F","2010-02-05",2503,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39,1,1,12,"wet",25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24.19734371,341381.434,318.0720166,31.78,0,0,7.273,"< 5%","16-Apr-2020","17-Dec-2020",245,"ES2523",31.78,"I563","I335","I335"
"31","I565","2010-11-25","B1445","intest_biomes","social_dyn_adoptions","I","F","2010-03-03",267,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",0.79,NA,NA,NA,NA,NA,NA,2,2,11,"wet",16475,150,1,25,1,16300,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,74.66377833,227502.8213,583.123751,16.717,0,0,4.897,"5 - 10%","24-Feb-2020","16-Dec-2020",296,"ES1470",16.72,"I564","I315","I315"
"32","I565","2016-06-16","B7607","intest_biomes","social_dyn","I","F","2010-03-03",2297,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2,2,6,"dry",950,150,1,175,1,625,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,78.43109564,138556.3734,11.81321144,29.265,0,0,3.495,"< 5%","16-Apr-2020","17-Dec-2020",245,"ES2308",29.27,"I564","I315","I315"
"33","I566","2010-10-07","B981","intest_biomes","adoptions","I","M","2010-04-29",161,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",0.75,NA,NA,NA,NA,NA,NA,2,2,10,"dry",275,275,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,293.7286176,236243.4301,106.3413862,46.347,1.472755,1,4.058,"< 5%","24-Jun-2017","7-Oct-2020",1201,"ES1432",46.35,NA,"I400","I400"
"34","I567","2010-08-05","B635","intest_biomes","social_dyn","I","F","2010-03-01",157,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.2,NA,NA,NA,NA,NA,NA,2,2,8,"dry",6575,6400,1,150,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,3,3,363.5062781,466942.4378,223.4456229,50.85,0,0,11.01,"< 5%","7-Oct-2017","30-Sep-2020",1089,"ES1388",50.85,"I568","I434","I434"
"35","I567","2014-11-27","B6240","intest_biomes","social_dyn","I","F","2010-03-01",1732,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,2,2,11,"wet",2900,25,1,0,0,2875,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,64.18497779,280619.6035,118.1506385,22.711,0,0,3.97,"< 5%","16-Apr-2020","17-Dec-2020",245,"ES1961",22.71,"I568","I434","I434"
"36","I570","2010-12-21","B1733","intest_biomes","social_dyn_adoptions","I","F","2010-04-04",261,"sampled_as_juvenile","singlt",NA,NA,NA,NA,"no_adoption","mum_alive",-0.79,NA,NA,NA,NA,NA,NA,1,1,12,"wet",113000,1325,1,4100,1,107450,1,25,1,0,0,0,0,0,0,100,1,0,0,5,5,318.0383243,32425.93689,12.33063137,29.851,0,0,6.813,"< 5%","10-Jul-2017","15-Dec-2020",1254,"ES1506",29.85,NA,"I405","I405"
"37","I570","2014-11-07","B6318","intest_biomes","extreme_ranks","I","F","2010-04-04",1678,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91,2,2,11,"wet",25,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.87130852,52917.5862,18.47330435,26.755,0,0,5.719,"< 5%","22-Jan-2021","27-Jan-2021",5,"ES1934",26.76,NA,"I405","I405"
"38","I580","2010-11-17","B1303","intest_biomes","twins","I","M","2010-06-30",140,"sampled_as_juvenile","twin","twin_sub","MM","2010-10-07",NA,"no_adoption","mum_alive",0.44,NA,NA,NA,NA,NA,NA,2,2,11,"wet",575,550,1,0,0,0,0,0,1,0,0,0,0,0,0,25,1,0,0,3,3,88.95265319,64575.16317,43.56999373,46.701,0,0,1.467,"5 - 10%","16-Apr-2020","16-Dec-2020",244,"ES1463",46.7,"I581","I425","I425"
"39","I581","2010-09-13","B841","intest_biomes","twins","I","M","2010-06-30",75,"sampled_as_juvenile","twin","twin_dom","MM","2010-10-07",NA,"no_adoption","mum_alive",0.45,NA,NA,NA,NA,NA,NA,2,2,9,"dry",7025,7025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,193.0556393,1205857.655,21121.39451,22.425,0,0,14.89,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1415",22.43,"I580","I425","I425"
"40","I581","2010-10-23","B1079","intest_biomes","twins","I","M","2010-06-30",115,"sampled_as_juvenile","twin","twin_dom","MM","2010-10-07",NA,"no_adoption","mum_alive",0.44,NA,NA,NA,NA,NA,NA,2,2,10,"dry",13650,9075,1,4425,1,0,0,0,0,25,1,0,0,0,0,0,0,125,1,4,3,99.69527905,41748.24164,86.51684556,1987.129,0,0,19.12,"< 5%","24-Jun-2017","7-Oct-2020",1201,"ES1444",1987.13,"I580","I425","I425"
"41","I591","2011-01-27","B1830","intest_biomes","social_dyn","I","F","2010-10-07",112,"sampled_as_juvenile","twin","twin_sub","FF",NA,NA,"no_adoption","mum_alive",0.69,NA,NA,NA,NA,NA,NA,1,1,1,"wet",5050,4750,1,0,0,0,0,0,0,0,0,0,0,0,0,300,1,0,0,2,2,185.6776738,3678063.659,112.3120556,1290.404,0,0,7.919,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1525",1290.4,"I590","I314","I314"
"42","I591","2013-12-01","B4621","intest_biomes","social_dyn","I","F","2010-10-07",1151,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,2,12,"wet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.81273758,772.3634033,25.60186147,28.848,0,0,5.021,"< 5%","6-Oct-2017","7-Oct-2020",1097,"ES1880",28.85,"I590","I314","I314"
"43","I600","2011-06-02","B2536","intest_biomes","twins","I","M","2011-02-19",103,"sampled_as_juvenile","twin","twin_sub","mixed",NA,NA,"no_adoption","mum_alive",-0.85,NA,NA,NA,NA,NA,NA,1,1,6,"dry",12200,25,1,6350,1,5800,1,0,1,0,0,0,0,0,0,0,0,25,1,5,4,104.8460568,11400.30305,8.168360112,227.66,0,0,8.134,"5 - 10%","19-Jul-2017","27-Jan-2021",1288,"ES1623",227.66,"I602","I278","I278"
"44","I602","2011-06-02","B2530","intest_biomes","twins","I","F","2011-02-19",103,"sampled_as_juvenile","twin","twin_dom","mixed",NA,NA,"no_adoption","mum_alive",-0.85,NA,NA,NA,NA,NA,NA,1,1,6,"dry",1675,775,1,875,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,161.9416027,642869.0649,571.2585634,100.529,0,0,4.6,"< 5%","16-Apr-2020","16-Dec-2020",244,"ES1622",100.53,"I600","I278","I278"
"45","I604","2017-03-01","B8996","intest_biomes","extreme_ranks","I","F","2011-03-04",2189,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,"wet",2175,50,1,0,0,2075,1,0,0,0,0,50,1,0,0,0,0,0,0,3,3,43.4115316,149590.3793,117.6659956,67.49,0,0,16.97,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2619",67.49,"I605","I474","I474"
"46","I605","2017-11-29","B9837","intest_biomes","extreme_ranks","I","F","2011-03-04",2462,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,2,11,"wet",13975,0,0,175,1,13800,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,45.56852218,177130.2702,4031.504308,49.568,0,0,4.241,"< 5%","22-Jan-2021","27-Jan-2021",5,"ES2828",49.57,"I604","I474","I474"
"47","I617","2013-11-26","B4604","intest_biomes","social_dyn","I","F","2011-07-08",872,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,2,2,11,"wet",375,100,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,40.79609167,421794.4396,3616.3992,25.653,0,0,3.334,"< 5%","16-Apr-2020","17-Dec-2020",245,"ES1876",25.65,"I618","I363","I363"
"48","I618","2011-11-11","B2926","intest_biomes","twins","I","F","2011-07-08",126,"sampled_as_juvenile","twin","twin_dom","FF",NA,NA,"no_adoption","mum_alive",-0.07,NA,NA,NA,NA,NA,NA,2,2,11,"wet",27675,7450,1,20200,1,0,0,0,0,0,0,25,1,0,0,0,0,0,0,3,3,175.2139808,414831.6501,3.361194949,87.886,0,0,18.63,"5 - 10%","16-Apr-2020","16-Dec-2020",244,"ES1675",87.89,"I617","I363","I363"
"49","I680","2017-11-29","B9758","intest_biomes","extreme_ranks","I","F","2013-06-21",1622,"sampled_as_adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,2,11,"wet",75,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20.95075406,144240.9382,31.28444083,28.98,0,0,5.248,"< 5%","24-Feb-2020","16-Dec-2020",296,"ES2809",28.98,"I681","I484","I484+I542"
"50","I687","2013-11-08","B4368","intest_biomes","twins","I","F","2013-07-17",114,"sampled_as_juvenile","twin","twin_sub","mixed","2013-10-19",NA,"no_adoption","mum_alive",-0.16,NA,NA,NA,NA,NA,NA,2,2,11,"wet",14475,14300,1,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,254.9850265,1811083.431,629.3739403,76.615,0,0,5.639,"< 5%","16-Apr-2020","17-Dec-2020",245,"ES1839",76.62,"I688","I482","I482"
"51","I688","2013-11-08","B4372","intest_biomes","twins","I","M","2013-07-17",114,"sampled_as_juvenile","twin","twin_dom","mixed","2013-10-19",NA,"no_adoption","mum_alive",-0.16,NA,NA,NA,NA,NA,NA,2,2,11,"wet",24250,24075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,2,1,146.7364551,771926.8842,112302.5353,54.196,0,0,8.013,"< 5%","16-Apr-2020","30-Sep-2020",167,"ES1840",54.2,"I687","I482","I482"
