Sample,DNA_conc_O,P260_O,P280_O,P260_280_O,P260_230_O
B1008,11.1,0.222,0.11,2.01,0.64
B1065,28.1,0.562,0.312,1.8,1.38
B1079,14.9,0.297,0.157,1.89,0.53
B1162,13.4,0.267,0.135,1.98,0.34
B1287,5.7,0.113,0.029,3.91,0.07
B1303,37.2,0.744,0.399,1.86,1.37
B1430,59.2,1.185,0.638,1.86,1.66
B1445,27.2,0.554,0.296,1.84,1.15
B1733,17.9,0.359,0.208,1.72,1.07
B1830 ,35.2,0.703,0.373,1.89,1
B1885,12.8,0.255,0.137,1.87,0.77
B1892,7.5,0.149,0.063,2.36,0.67
B2198,36.1,0.722,0.388,1.86,1.28
B2250,32,0.64,0.345,1.86,1.13
B2287,18.4,0.369,0.186,1.98,1.45
B2293,10.8,0.216,0.105,2.05,0.72
B2400,15.3,0.306,0.15,2.04,0.29
B2530,42.6,0.852,0.466,1.83,1.77
B2536,59.3,1.185,0.634,1.87,1.81
B2703,3.9,0.079,0.038,2.09,0.15
B2714 ,15.6,0.311,0.177,1.76,1.05
B2867,25.2,0.504,0.272,1.85,0.56
B2905,32.9,0.659,0.351,1.88,0.23
B2926,37.8,0.756,0.394,1.92,1.64
B2980,27,0.54,0.286,1.89,1.44
B318,64.4,1.288,0.707,1.82,1.72
B3242,23.5,0.471,0.24,1.96,0.29
B3321,3.6,0.071,0.027,2.68,0.4
B3354,32.6,0.653,0.353,1.85,1.67
B3358,10.5,0.209,0.104,2,1.16
B340,10.2,0.204,0.103,1.97,0.19
B3456,74.7,1.493,0.817,1.83,1.88
B3538,27.5,0.55,0.294,1.87,1.29
B3543,26.6,0.531,0.279,1.9,0.42
B425,23.5,0.47,0.258,1.83,1.94
B4285,13.6,0.271,0.154,1.76,1.01
B4290,7.6,0.153,0.084,1.83,0.4
B433,6,0.12,0.065,1.86,0.56
B4345,16.5,0.329,0.179,1.84,0.94
B4360,50.9,1.018,0.549,1.85,1.12
B4368,21.5,0.429,0.224,1.91,0.51
B4372,34.7,0.694,0.388,1.79,1.41
B4420,14.8,0.296,0.219,1.35,0.42
B4604,26.6,0.532,0.285,1.87,1.16
B4621,51.7,1.033,0.553,1.87,1.33
B4940,34.7,0.694,0.355,1.96,1.09
B4988,14.4,0.288,0.142,2.04,0.62
B5027,4.2,0.084,0.045,1.86,0.35
B5035,24.7,0.494,0.258,1.91,0.65
B5039,35.1,0.703,0.374,1.88,0.96
B5080,22.2,0.444,0.246,1.8,0.59
B5084,18.6,0.771,0.209,1.78,1.17
B540,30.2,0.604,0.329,1.84,0.99
B574,23.3,0.465,0.249,1.87,0.21
B610,12.2,0.245,0.136,1.8,0.21
B6149,11.3,0.226,0.11,2.06,0.12
B6240,53.9,1.079,0.581,1.86,1.59
B6255,9.5,0.191,0.083,2.29,0.44
B6279,11.2,0.224,0.114,1.97,0.53
B6288,13.5,0.271,0.144,1.88,0.98
B6318,20.6,0.412,0.213,1.93,1.17
B6320,45.7,0.915,0.488,1.87,0.75
B635,50,1,0.548,1.83,1.69
B6359,14.4,0.287,0.142,2.02,1.26
B6423,111.9,2.23,1.219,1.84,2.01
B6437,19.4,0.389,0.192,2.02,0.72
B6477,10.6,0.212,0.101,2.09,1.37
B6492,25.2,0.504,0.281,1.79,0.86
B6501,171,3.42,1.819,1.88,1.21
B6506,24.1,0.481,0.239,2.01,0.35
B6728,59.7,1.195,0.646,1.85,1.43
B6739,30.3,0.606,0.327,1.85,0.69
B6994,77.9,1.557,0.848,1.84,1.91
B7103,18.7,0.373,0.2,1.87,1.6
B7118,52.8,1.056,0.569,1.86,0.74
B7187,61.4,1.228,0.668,1.84,0.78
B7214,29.1,0.582,0.31,1.87,1.5
B7255,26.9,0.539,0.293,1.84,0.7
B7274,44.1,0.881,0.479,1.84,1.84
B740,24.7,0.495,0.264,1.87,1.83
B7607,12.6,0.252,0.115,2.19,0.4
B7706,7.4,0.148,0.072,2.06,0.11
B7715,54.5,1.089,0.595,1.83,1.28
B783,29.4,0.588,0.325,1.81,1.23
B7860,19.6,0.392,0.205,1.91,0.51
B7901,11.2,0.223,0.112,1.99,0.74
B7947,20.9,0.419,0.215,1.94,1.18
B8097,33.2,0.664,0.349,1.9,0.46
B8149,18.8,0.377,0.205,1.84,1.72
B8154,32.2,0.644,0.345,1.87,1.61
B8175,88.7,1.775,0.952,1.86,0.97
B8180,47.6,0.952,0.504,1.89,1.65
B824,72.2,1.443,0.778,1.85,1.76
B8276,66.3,1.327,0.719,1.85,1.67
B8320,23.2,0.464,0.247,1.88,1.38
B8332,77.9,1.558,0.848,1.84,1.68
B8366,35.7,0.714,0.384,1.86,0.88
B8390,33.4,0.668,0.365,1.83,1.14
B841,52.1,1.041,0.568,1.83,1.2
B8423,20.2,0.404,0.225,1.79,1.54
B8427,32,0.641,0.347,1.85,1.28
B8452,39.6,0.792,0.426,1.86,1.56
B8459,15.3,0.305,0.162,1.89,0.61
B8589,62.6,1.251,0.669,1.87,0.41
B8601,73.1,1.461,0.796,1.84,1.31
B8634,31.1,0.623,0.346,1.8,1.49
B8661,17.3,0.346,0.18,1.92,1.25
B867,0.4,0.07,-0.018,-0.42,0.12
B8718,15.4,0.307,0.161,1.91,1.14
B8738,67.7,1.355,0.767,1.77,1.31
B8742,8.1,0.162,0.07,2.31,0.39
B8748,16.8,0.335,0.179,1.88,0.19
B8751,57.9,1.157,0.612,1.89,0.7
B8825,10.6,0.212,0.105,2.02,1.27
B8833,7.7,0.155,0.072,2.16,0.32
B8846,43.3,0.866,0.476,1.82,1.84
B8861,28.1,0.563,0.296,1.9,1.08
B8929,6.6,0.132,0.065,2.05,0.72
B8964,36.5,0.73,0.397,1.84,1.77
B897,4.5,0.09,0.044,2.05,1.16
B8988,11.9,0.239,0.122,1.97,0.12
B8996,58,1.161,0.628,1.85,1
B9023,33.4,0.667,0.358,1.87,1.25
B9030,41.6,0.832,0.447,1.86,0.64
B9034,23.9,0.479,0.249,1.92,0.45
B9123,5.9,0.118,0.052,2.26,0.82
B9157,3.3,0.065,0.036,1.83,0.25
B9161,18.1,0.362,0.184,1.97,1.12
B9185,19,0.379,0.196,1.94,0.97
B9221,44.7,0.894,0.478,1.87,0.49
B923,42.3,0.847,0.456,1.86,1.27
B9444,17.1,0.341,0.178,1.92,0.9
B9474,32.8,0.657,0.349,1.88,0.7
B9482,31.8,0.626,0.33,1.9,1.25
B9730,42.5,0.85,0.446,1.9,1.17
B9758,16.1,0.321,0.162,1.99,0.38
B981,8.9,0.178,0.088,2.02,1.67
B9813,18.3,0.367,0.193,1.9,1.19
B9823,31.7,0.634,0.331,1.92,1.24
B9837,29.6,0.593,0.311,1.9,1.08
B9861,29.5,0.59,0.31,1.9,1.34
B990,10.2,0.203,0.113,1.79,0.1
B9915,148,2.967,1.592,1.86,1.88
B9996,13,0.259,0.155,1.67,0.47
C0047,15.5,0.311,0.168,1.85,0.74
C0052,5.2,0.104,0.043,2.41,0.59
C0129,28.7,0.575,0.303,1.9,0.35
X3300,105.5,2.109,1.149,1.84,1.36
X3322 ,18.4,0.368,0.156,2.35,0.86
X4350,98.4,1.968,1.038,1.9,2.34
X5461,27.1,0.542,0.28,1.93,0.97
X5506,11.1,0.222,0.12,1.85,0.52
X6415,26.3,0.527,0.285,1.85,0.51
X6423,98.9,1.977,1.064,1.86,2.04
X6425,67.5,1.35,0.739,1.83,1.18
X6441,98.5,1.971,1.072,1.84,0.67
X6587,85.8,1.717,0.943,1.82,1.54
X6621,31.4,0.627,0.326,1.93,1.41
X6641,63.8,1.276,0.697,1.83,1.01
X6643,68.8,1.377,0.73,1.88,1.13
X6674,13.2,0.265,0.132,2.01,1.16
X6685,121.1,2.423,1.282,1.89,1.64
X6689,55.4,1.109,0.615,1.8,1.22
X6753,72.5,1.45,0.793,1.83,0.9
X6824,37.7,0.755,0.397,1.9,1.54
X6867,37.8,0.756,0.411,1.84,0.37
X6889,42.7,0.854,0.428,1.99,1.02
X6894,20.2,0.405,0.217,1.87,1.2
X6988,53.9,1.078,0.582,1.85,2.19
X6992,51.3,1.027,0.557,1.84,1.66
X7063,31.1,0.621,0.302,2.06,1.86
X7127,33.2,0.665,0.341,1.95,1.83
X7442,68.1,1.362,0.742,1.84,1.55
X7448,39.8,0.797,0.492,1.86,1.11
X7456,39.4,0.787,0.431,1.83,1.59
X7466,83,1.66,0.905,1.83,1.49
X7573,25.5,0.51,0.243,2.1,1.62
X7579,25.7,0.513,0.275,1.87,0.68
X7622,70.3,1.406,0.757,1.86,1.93
X7637,29.2,0.584,0.31,1.88,0.38
X7642,62.1,1.242,0.668,1.86,1.44
X7933,28.7,0.575,0.299,1.92,0.69
X7935,38.6,0.772,0.415,1.86,1.68
X7999,10,0.201,0.099,2.03,0.59
X8089,58.9,1.178,0.643,1.83,1.68
X8286,47,0.94,0.511,1.84,0.57
X8549,35.7,0.713,0.387,1.85,1.24
X8562,6.1,0.121,0.067,1.79,0.5
X8566,66.8,1.336,0.725,1.84,0.23
X8572,45.2,0.904,0.489,1.85,1.47
X8661,102.9,2.057,1.127,1.83,1.8
X8667,47.5,0.95,0.512,1.85,1.28
X8687,94,1.88,0.989,1.9,2.27
X8691,117.4,2.349,1.278,1.84,1.93
X8699,131.5,2.63,1.422,1.85,1.99
X8742,17.9,0.357,0.196,1.82,1.12
X8749,71.1,1.422,0.792,1.8,1.79
X8760,79.4,1.589,0.855,1.86,1.08
X8770,97.2,1.945,1.043,1.86,1.25
X8774,89,1.78,0.963,1.85,1.97
X8931,22.5,0.449,0.235,1.91,0.35
X8978,17.2,0.344,0.18,1.91,1.06
X9162,7.8,0.156,0.057,2.71,0.53
X9326,46.3,0.926,0.497,1.86,0.83
X6423,93.5,,,1.85,2.08
X6464,40,,,1.87,0.46
X6473,36,,,1.85,0.88
X6674,26.5,,,1.89,1.23
X6757,34,,,1.9,1.87
X6894,77.2,,,1.87,1.63
X7135,66.1,,,1.86,1.57
X7340,95.5,,,1.88,1.17
X7579,31.6,,,1.85,1.79
X7933,24.5,,,1.9,1.84
X8089,48.1,,,1.85,1.75
X8181,33.9,,,1.9,1.01
X8435,27.9,,,1.94,1.67
X8453,52.2,,,1.9,1.42
X8766,69.7,,,1.88,1.59
X8908,49,,,1.87,1.25
