Sample,DNA_conc,P260,P280,P260_280,P260_230
B1008,48.8,0.973,0.518,1.88,0.58
B1065,46.1,0.922,0.503,1.83,1.2
B1079,48.5,0.966,0.522,1.85,0.48
B1162,47.4,0.949,0.503,1.89,0.27
B1287,50,1.112,0.584,1.9,0.09
B1303,52.7,1.055,0.566,1.86,1.23
B1430,50.8,1.016,0.537,1.89,1.52
B1445,49.2,0.985,0.534,1.84,1.01
B1733,39.9,0.799,0.424,1.88,0.9
B1830 ,49.1,0.983,0.533,1.84,1.01
B1885,52.4,1.049,0.586,1.79,0.67
B1892,64.6,1.292,0.712,1.82,0.64
B2198,50.7,1.013,0.538,1.888,1.16
B2250,49.5,0.99,0.523,1.9,0.99
B2287,50.4,1.008,0.537,1.88,1.25
B2293,51.1,1.023,0.533,1.92,2.08
B2400,51.6,1.031,0.535,1.93,0.23
B2530,51.4,1.029,0.539,1.91,1.74
B2536,49,0.979,0.514,1.91,1.93
B2703,50,1.243,0.708,1.76,0.17
B2714 ,48,0.96,0.532,1.8,0.87
B2867,51.8,1.036,0.56,1.85,0.5
B2905,52.3,1.046,0.547,1.91,0.19
B2926,50.7,1.013,0.533,1.9,1.52
B2980,49.7,0.993,0.531,1.87,1.33
B318,50.4,1.007,0.532,1.9,1.72
B3242,48.8,0.979,0.519,1.89,0.33
B3321,50,1.626,0.954,1.7,0.48
B3354,51.8,1.036,0.557,1.86,1.51
B3358,50.6,1.012,0.532,1.9,0.96
B340,51.7,1.034,0.55,1.86,0.18
B3538,51.5,1.029,0.537,1.92,1.21
B3543,52.8,1.068,0.582,1.84,0.38
B425,45.9,0.912,0.472,1.94,1.62
B4285,50,1,0.552,1.81,0.89
B4290,48,0.96,0.531,1.81,0.34
B433,62.3,1.246,0.707,1.76,0.49
B4345,48.1,0.962,0.524,1.84,0.79
B4360,50.9,1.018,0.549,1.85,1.12
B4368,48.7,0.975,0.501,1.94,0.44
B4372,52.1,1.043,0.548,1.9,1.35
B4420,51.2,1.024,0.756,1.35,0.47
B4604,50.3,1.006,0.542,1.86,1.04
B4621,51.7,1.033,0.553,1.87,1.33
B4940,50,1,0.529,1.89,0.98
B4988,49.6,0.992,0.536,1.85,0.52
B5027,50,1.269,0.695,1.82,0.36
B5035,49.2,0.984,0.528,1.86,0.57
B5039,51.9,1.037,0.701,1.48,0.77
B5080,49.2,0.983,0.548,1.79,0.52
B5084,51.8,1.036,0.551,1.88,1.03
B540,51.9,1.039,0.551,1.88,0.9
B574,50.7,1.013,0.545,1.86,0.21
B610,48.6,0.972,0.535,1.82,0.18
B6149,53.1,1.062,0.553,1.92,0.12
B6240,51.4,1.03,0.539,1.91,1.64
B6255,52.5,1.05,0.577,1.82,0.43
B6279,51.5,1.03,0.585,1.76,0.51
B6288,50.6,1.011,0.555,1.82,0.84
B6318,52,1.043,0.548,1.9,0.98
B6320,45.7,0.915,0.488,1.87,0.75
B635,50,1,0.548,1.83,1.69
B6359,52.4,1.051,0.542,1.94,1.09
B6437,49.5,0.991,0.529,1.87,0.66
B6477,10.6,0.212,0.101,2.09,1.37
B6492,51.9,1.058,0.584,1.81,0.76
B6501,52,1.039,0.561,1.85,1.15
B6506,50.5,1.01,0.538,1.88,0.31
B6728,49.4,0.987,0.511,1.93,1.47
B6739,51.2,1.024,0.562,1.82,0.62
B6994,50.3,1.007,0.529,1.9,1.97
B7103,49.3,0.985,0.53,1.86,1.34
B7118,52.8,1.056,0.569,1.86,0.74
B7187,49.4,0.988,0.518,1.91,0.79
B7214,49.2,0.984,0.534,1.84,1.26
B7255,51.5,1.029,0.553,1.86,0.64
B7274,51.9,1.039,0.548,1.9,1.86
B740,51.7,1.034,0.562,1.84,1.53
B7607,50.8,1.016,0.499,2.04,0.08
B7706,45.2,0.903,0.466,1.94,0.1
B7715,51.5,1.03,0.542,1.9,1.37
B783,29.4,0.588,0.325,1.81,1.23
B7860,49.2,0.984,0.537,1.83,0.42
B7901,52,1.04,0.578,1.8,0.63
B7947,50.1,1.001,0.531,1.89,1.02
B8097,52.5,1.05,0.557,1.89,0.43
B8149,49,0.981,0.531,1.85,1.49
B8154,50.5,1.01,0.538,1.88,1.44
B8175,51.5,1.03,0.539,1.91,0.96
B8180,47.6,0.952,0.504,1.89,1.65
B824,51.7,1.055,0.552,1.91,1.84
B8276,50.8,1.015,0.552,1.84,1.23
B8320,23.2,0.464,0.247,1.88,1.38
B8332,51.4,1.028,0.536,1.92,1.77
B8366,52,1.04,0.558,1.86,0.81
B8390,51.5,1.031,0.547,1.88,1.01
B841,52.1,1.041,0.568,1.83,1.2
B8423,49.9,0.998,0.544,1.84,1.44
B8427,52,1.039,0.553,1.88,1.12
B8452,49.9,0.997,0.532,1.88,1.41
B8459,49.1,0.983,0.532,1.85,0.56
B8589,49.2,0.984,0.525,1.87,0.41
B8601,51.3,1.026,0.547,1.87,1.39
B8634,51.8,1.035,0.569,1.82,1.34
B8661,50.9,1.018,0.549,1.86,1.02
B867,0.4,0.07,-0.018,-0.42,0.12
B8718,49.6,0.992,0.538,1.84,1.01
B8738,50.1,1.001,0.553,1.81,1.36
B8742,120.4,2.407,1.286,1.87,1.01
B8748,56.8,1.145,0.612,1.87,0.18
B8751,51,1.021,0.538,1.9,0.75
B8825,52.1,1.042,0.569,1.83,1.36
B8833,65,1.3,0.696,1.87,0.35
B8846,49.7,0.994,0.528,1.88,1.77
B8861,50.9,1.018,0.549,1.86,1.02
B8929,60.2,1.206,0.656,1.84,0.56
B8964,48.1,0.961,0.523,1.84,1.6
B897,86.5,1.729,0.973,1.78,0.92
B8988,49.2,0.984,0.531,1.85,0.12
B8996,51.2,1.023,0.549,1.86,1.05
B9023,50.9,1.018,0.556,1.83,1.26
B9030,49.6,0.992,0.533,1.86,0.62
B9034,51.3,1.027,0.538,1.91,0.44
B9123,56.8,1.136,0.62,1.83,0.79
B9157,48.2,0.964,0.53,1.82,0.21
B9161,52.6,1.054,0.581,1.81,0.95
B9185,48.6,0.97,0.54,1.8,0.94
B9221,52.5,1.05,0.561,1.87,0.45
B923,50.7,1.015,0.549,1.85,1.19
B9444,51,1.019,0.54,1.89,0.82
B9474,52.6,1.051,0.558,1.88,0.65
B9482,48.8,0.977,0.542,1.8,1.26
B9730,52.6,1.052,0.564,1.86,1.14
B9758,50.6,1.013,0.555,1.83,0.35
B981,64.4,1.288,0.721,1.78,1.19
B9813,50.1,1.002,0.561,1.79,1.11
B9823,51,1.021,0.543,1.88,1.1
B9837,51.7,1.033,0.554,1.86,0.96
B9861,51.9,1.037,0.582,1.78,1.14
B990,47,0.94,0.501,1.88,0.08
B9915,50.6,1.012,0.542,1.87,1.9
B9996,49.3,0.987,0.525,1.88,0.44
C0047,50,0.999,0.542,1.84,0.6
C0052,56.5,1.13,0.643,1.76,0.47
C0129,50.4,1.009,0.559,1.8,0.32
X3300,50.4,1.007,0.534,1.89,1.27
X3322 ,48.8,0.976,0.542,1.8,0.67
X4350,50.9,1.019,0.532,1.91,2.54
X5461,52,1.042,0.563,1.85,0.94
X5506,48.8,0.976,0.543,1.8,0.45
X6415,49.6,0.992,0.529,1.87,0.46
X6423,98.9,1.977,1.064,1.86,2.04
X6423.2,51.9,1.04,0.54,1.93,1.62
X6425,51.5,1.029,0.561,1.84,1.25
X6441,51.1,1.022,0.549,1.86,0.63
X6464.2,51.3,1.026,0.57,1.8,0.42
X6473.2,48.1,0.96,0.535,1.79,0.72
X6587,49.9,0.997,0.536,1.86,1.69
X6621,50.3,1.006,0.542,1.86,1.23
X6641,49.1,0.982,0.529,1.85,1.94
X6643,51.6,1.032,0.553,1.87,1.13
X6674,51.5,1.029,0.557,1.85,0.95
X6685,51.5,1.031,0.552,1.87,1.68
X6689,50.8,1.016,0.551,1.85,1.27
X6753,51.8,1.035,0.559,1.85,0.87
X6757.2,52.3,1.047,0.569,1.84,1.61
X6824,52.4,1.049,0.566,1.85,1.38
X6867,52.5,1.053,0.559,1.88,0.34
X6889,52,1.039,0.557,1.86,0.85
X6894,51.7,1.034,0.57,1.82,1
X6894.2,51,1.02,0.544,1.87,1.53
X6988,50.4,1.008,0.541,1.87,2.59
X6992,51.3,1.027,0.557,1.84,1.66
X7063,54.3,1.09,0.604,1.8,1.41
X7127,53.6,1.072,0.573,1.87,1.63
X7135.2,51.5,1.031,0.537,1.92,1.54
X7340.2,51.3,1.026,0.54,1.9,1.15
X7442,50,1.001,0.524,1.91,1.6
X7448,50.9,1.018,0.552,1.84,1
X7456,49.8,0.995,0.532,1.87,1.45
X7466,51.7,1.034,0.548,1.89,1.47
X7573,52,1.041,0.568,1.83,1.3
X7579,49,0.98,0.542,1.81,0.6
X7622,50.9,1.018,0.538,1.89,1.96
X7637,50.8,1.016,0.554,1.83,0.35
X7642,51.3,1.026,0.533,1.92,1.43
X7933,50.2,1.004,0.549,1.83,0.62
X7935,49.1,0.981,0.527,1.86,1.52
X7999,49.6,0.991,0.535,1.85,0.53
X8089.2,48.1,,,1.85,1.75
X8181.2,49,0.98,0.531,1.85,0.85
X8286,47,0.94,0.511,1.84,0.57
X8435.2,27.9,,,1.94,1.67
X8453.2,52.2,,,1.9,1.42
X8549,49.5,0.99,0.529,1.87,1.18
X8562,47.5,0.949,0.582,1.63,0.46
X8566,51.6,1.031,0.535,1.93,0.23
X8572,51.4,1.028,0.549,1.87,1.31
X8661,51.8,1.036,0.547,1.89,1.85
X8667,47.5,0.95,0.512,1.85,1.28
X8687,51.6,1.031,0.55,1.88,2.21
X8691,51.5,1.03,0.544,1.89,2.08
X8699,51.1,2.63,1.422,1.85,1.99
X8749,49.7,0.994,0.523,1.9,1.91
X8760,51.1,1.022,0.54,1.89,1.08
X8766.2,51.1,1.022,0.535,1.91,1.52
X8770,50.1,1.002,0.539,1.86,1.22
X8774,48.9,0.979,0.52,1.88,2
X8908.2,49,,,1.87,1.25
X8931,50.2,1.004,0.536,1.87,0.32
X8978,51.2,1.024,0.557,1.84,0.96
X9162,61.2,1.224,0.656,1.86,0.43
X9326,52.7,1.059,0.572,1.85,0.75
